
Data_X,Data_Y,Angle,Label_X,Label_Y
-1.1165960729122162,-0.49588409066200256,-2.722234272741463,-1.1165960729122162,-0.49588409066200256
-1.1120239198207855,-0.49384403228759766,-2.722268980239271,-1.1120239198207855,-0.49384403228759766
-1.107482373714447,-0.4918191581964493,-2.722250479915842,-1.107482373714447,-0.4918191581964493
-1.1029619574546814,-0.489804208278656,-2.722237475849446,-1.1029619574546814,-0.489804208278656
-1.09847754240036,-0.4877694696187973,-2.722210960810827,-1.09847754240036,-0.4877694696187973
-1.0939784944057465,-0.48576049506664276,-2.722170259286385,-1.0939784944057465,-0.48576049506664276
-1.0895067155361176,-0.48376908898353577,-2.7221804070733815,-1.0895067155361176,-0.48376908898353577
-1.0850625038146973,-0.48178957402706146,-2.7221136100365304,-1.0850625038146973,-0.48178957402706146
-1.0806692838668823,-0.47980445623397827,-2.722130820850678,-1.0806692838668823,-0.47980445623397827
-1.0762317478656769,-0.47783035039901733,-2.722156311860855,-1.0762317478656769,-0.47783035039901733
-1.0718307197093964,-0.47588416934013367,-2.722114713202646,-1.0718307197093964,-0.47588416934013367
-1.0674512088298798,-0.47393763065338135,-2.72210365647595,-1.0674512088298798,-0.47393763065338135
-1.0630911141633987,-0.47209256887435913,-2.7221118034511713,-1.0630911141633987,-0.47209256887435913
-1.0586388558149338,-0.470130056142807,-2.722059905816882,-1.0586388558149338,-0.470130056142807
-1.054299309849739,-0.4681991934776306,-2.722049765679898,-1.054299309849739,-0.4681991934776306
-1.0499855130910873,-0.46629294753074646,-2.7220668430625774,-1.0499855130910873,-0.46629294753074646
-1.045701041817665,-0.46439461410045624,-2.7220242218811355,-1.045701041817665,-0.46439461410045624
-1.0414206236600876,-0.4625747948884964,-2.722023465014417,-1.0414206236600876,-0.4625747948884964
-1.037080556154251,-0.46064265072345734,-2.7220878074253663,-1.037080556154251,-0.46064265072345734
-1.0328365862369537,-0.45875631272792816,-2.7220604037487197,-1.0328365862369537,-0.45875631272792816
-1.0286204814910889,-0.45688125491142273,-2.7220712092361854,-1.0286204814910889,-0.45688125491142273
-1.0244213342666626,-0.45501211285591125,-2.7220849775505815,-1.0244213342666626,-0.45501211285591125
-1.0203154534101486,-0.4531659334897995,-2.722116500720876,-1.0203154534101486,-0.4531659334897995
-1.0160818845033646,-0.45127958059310913,-2.7221197375603783,-1.0160818845033646,-0.45127958059310913
