Delta_X,Delta_Y,U1
2.769806742668152,1.440075308084488,"[[2.76980674]
 [1.44007531]]"
2.7662070989608765,1.4502970278263092,"[[2.7662071 ]
 [1.45029703]]"
2.768737316131592,1.4625345766544342,"[[2.76873732]
 [1.46253458]]"
2.7636096477508545,1.4732759296894073,"[[2.76360965]
 [1.47327593]]"
2.764798879623413,1.487007588148117,"[[2.76479888]
 [1.48700759]]"
2.757267117500305,1.4968396127223969,"[[2.75726712]
 [1.49683961]]"
2.755034565925598,1.511115849018097,"[[2.75503457]
 [1.51111585]]"
2.745484471321106,1.51869398355484,"[[2.74548447]
 [1.51869398]]"
2.7398608922958374,1.532099425792694,"[[2.73986089]
 [1.53209943]]"
2.729309916496277,1.5368416905403137,"[[2.72930992]
 [1.53684169]]"
2.7198351621627808,1.5476804971694946,"[[2.71983516]
 [1.5476805 ]]"
2.709540367126465,1.5493049621582031,"[[2.70954037]
 [1.54930496]]"
2.697190523147583,1.5564395785331726,"[[2.69719052]
 [1.55643958]]"
2.6884279251098633,1.554739534854889,"[[2.68842793]
 [1.55473953]]"
2.6750285625457764,1.557467758655548,"[[2.67502856]
 [1.55746776]]"
