M_x,M_y,Phi_x,Phi_y,U_x,U_y
-0.992952480912209,-0.819562435150147,3.87402638792992,2.81256505846977,-2.08368849754333,-2.10480955243111
-0.991824463009834,-0.819975793361664,3.86681085824966,2.82314506173134,-2.08413591980934,-2.09670969843864
-0.98371884226799,-0.814448654651642,3.82733692228794,2.79680007696152,-2.07497613132,-2.08989185094833
-0.974599525332451,-0.8093531280756,3.78399969637394,2.76859663426876,-2.06359745562077,-2.08752213418484
-0.97335909307003,-0.809749320149422,3.77731363475323,2.77883267402649,-2.06284092366695,-2.07966324687004
-0.965470641851425,-0.80433252453804,3.7390433549881,2.75315019488335,-2.05378049612045,-2.07284495234489
-0.956468418240547,-0.799401268362999,3.69682316482067,2.72594743967056,-2.04198734462261,-2.07046017050743
-0.955313935875892,-0.799624368548393,3.69019152224064,2.73576402664185,-2.04169209301472,-2.06198218464851
-0.947565764188766,-0.794289618730545,3.65285420417786,2.71028164029121,-2.03254038095474,-2.05545607209206
-0.938748180866241,-0.789194032549858,3.61131855845451,2.68300005048513,-2.02117052674294,-2.05216414481401
-0.93758636713028,-0.789337262511253,3.60506701469421,2.69242540746927,-2.02045118808746,-2.04359816759825
-0.930041491985321,-0.784120425581932,3.5689249932766,2.66748670488596,-2.01132395863533,-2.03723584860563
-0.921318627893925,-0.77910116314888,3.52821672707796,2.64054346829653,-1.99969504028559,-2.03406351059675
-0.920174099504948,-0.7791887819767,3.52233619242907,2.64972671866417,-1.99870840460062,-2.02540597319603
-0.912743307650089,-0.774039253592491,3.48675990849733,2.62508162856102,-1.9896999374032,-2.01915389299393
-0.904098652303219,-0.768994450569153,3.44696500152349,2.59891475737095,-1.97762691229582,-2.01505194604397
-0.902867637574673,-0.769039630889893,3.44147216528654,2.60755747556686,-1.9757336601615,-2.00668030977249
-0.895650967955589,-0.763992816209793,3.40745495259762,2.58336995542049,-1.96645085513592,-2.00058694183826
-0.887529253959656,-0.758967310190201,3.36918810009956,2.55774332582951,-1.95598742365837,-1.9960605353117
-0.886546492576599,-0.75871530175209,3.36463072896004,2.56596168875694,-1.95464822649956,-1.9863301217556
-0.879429705440998,-0.753741785883904,3.33217514306307,2.54183374345303,-1.94440308958292,-1.9806169718504
-0.871713869273663,-0.748315334320068,3.29457028955221,2.5160838291049,-1.93571292608976,-1.97380817681551
-0.870616845786572,-0.747541487216949,3.29156696051359,2.52301804721355,-1.93213411420584,-1.96223087608814
-0.863702494651079,-0.742680355906487,3.26154175773263,2.49891413748264,-1.92067321017385,-1.95716799795628
-0.856349106878042,-0.736756384372711,3.22509161755443,2.47316928952932,-1.91300302371383,-1.94736901670694
-0.855793710798025,-0.735433995723724,3.22378320619464,2.47882831841707,-1.91097905859351,-1.93377565592527
-0.849029079079628,-0.730634272098541,3.19579829275608,2.45442721992731,-1.89837618172169,-1.92937841266394
-0.841286487877369,-0.725222364068031,3.15958473831415,2.42938184738159,-1.88813418895006,-1.9219523370266
-0.839876480400562,-0.724769189953804,3.15885458141565,2.43594310432672,-1.88040430098772,-1.9126720353961
-0.833262849599123,-0.720039412379265,3.13222301378846,2.41251929849386,-1.86735408380628,-1.90771717578173
-0.82476937957108,-0.71509425342083,3.09598735906184,2.38855084404349,-1.85262891836464,-1.90201467648149
-0.822972001507878,-0.714614793658257,3.09457922913134,2.39512803405523,-1.84325277991593,-1.89256072789431
-0.816426418721676,-0.709928333759308,3.06731050461531,2.37177098542452,-1.83124800771475,-1.88779901713133
