
Data_X,Data_Y,Label_X,Label_Y
-0.5206263810396194,-0.2741460092365742,[-0.52062638],[-0.27414601]
-0.5195661336183548,-0.27358512952923775,[-0.51956613],[-0.27358513]
-0.5185067802667618,-0.27302101999521255,[-0.51850678],[-0.27302102]
-0.5174502730369568,-0.2724616155028343,[-0.51745027],[-0.27246162]
-0.5163964927196503,-0.2718949690461159,[-0.51639649],[-0.27189497]
-0.5154211819171906,-0.27141887694597244,[-0.51542118],[-0.27141888]
-0.5143710076808929,-0.27086216583848,[-0.51437101],[-0.27086217]
-0.5132628977298737,-0.2702748663723469,[-0.5132629],[-0.27027487]
-0.5122142434120178,-0.26972129195928574,[-0.51221424],[-0.26972129]
-0.5111638903617859,-0.26916808634996414,[-0.51116389],[-0.26916809]
-0.5101216733455658,-0.26861514896154404,[-0.51012167],[-0.26861515]
-0.5090758800506592,-0.2680586203932762,[-0.50907588],[-0.26805862]
-0.5080401599407196,-0.2675074227154255,[-0.50804016],[-0.26750742]
-0.5070063471794128,-0.26696281507611275,[-0.50700635],[-0.26696282]
-0.5059711039066315,-0.26641784980893135,[-0.5059711],[-0.26641785]
-0.5050005316734314,-0.2658935524523258,[-0.50500053],[-0.26589355]
-0.5039708018302917,-0.2653462812304497,[-0.5039708],[-0.26534628]
-0.502889409661293,-0.26476673036813736,[-0.50288941],[-0.26476673]
-0.5018626898527145,-0.2642234154045582,[-0.50186269],[-0.26422342]
-0.5008359104394913,-0.2636762745678425,[-0.50083591],[-0.26367627]
-0.49981583654880524,-0.2631336897611618,[-0.49981584],[-0.26313369]
-0.49879874289035797,-0.2625960558652878,[-0.49879874],[-0.26259606]
-0.49778012931346893,-0.26205078326165676,[-0.49778013],[-0.26205078]
-0.49676454067230225,-0.2615127917379141,[-0.49676454],[-0.26151279]
-0.49575039744377136,-0.260977977886796,[-0.4957504],[-0.26097798]
-0.49477197229862213,-0.2605097685009241,[-0.49477197],[-0.26050977]
-0.4937630444765091,-0.2599725220352411,[-0.49376304],[-0.25997252]
-0.4926406890153885,-0.2594401780515909,[-0.49264069],[-0.25944018]
-0.4916383773088455,-0.25890785455703735,[-0.49163838],[-0.25890785]
-0.49062490463256836,-0.25836703181266785,[-0.4906249],[-0.25836703]
-0.4896220266819,-0.25783819891512394,[-0.48962203],[-0.2578382]
